id,name,host_id,host_name,host_is_superhost,superhost_status,borough,neighbourhood,latitude,longitude,room_type,price,accommodates,price_per_guest,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,host_tier,price_category,availability_365,rating,listing_url
10289,Quiet Apartment in DUMBO,1240,David,t,Superhost,Brooklyn,DUMBO,40.69226,-73.91868,Entire home/apt,179,4,44.75,1,61,2026-03-15,3.23,1,Single Listing,Moderate ($100-$250),145,4.97,https://www.airbnb.com/rooms/10289
10290,Stunning Loft in Hell's Kitchen,1337,Benjamin,t,Superhost,Manhattan,Hell's Kitchen,40.78945,-73.97022,Private room,130,1,130.0,2,55,2026-07-30,1.63,1,Single Listing,Moderate ($100-$250),297,4.95,https://www.airbnb.com/rooms/10290
10291,Rustic Loft in Jackson Heights,1146,Jessica,f,Standard Host,Queens,Jackson Heights,40.74483,-73.77259,Entire home/apt,165,4,41.25,30,44,2026-07-12,2.77,1,Single Listing,Moderate ($100-$250),72,4.49,https://www.airbnb.com/rooms/10291
10292,Cozy Room in Long Island City,1246,Benjamin,f,Standard Host,Queens,Long Island City,40.69353,-73.76213,Private room,68,1,68.0,4,43,2026-03-12,1.19,1,Single Listing,Budget (<$100),76,4.35,https://www.airbnb.com/rooms/10292
10293,Boho Loft in Midtown,1048,Liam,t,Superhost,Manhattan,Midtown,40.78212,-73.99636,Private room,167,1,167.0,7,66,2026-05-14,2.2,1,Single Listing,Moderate ($100-$250),318,4.98,https://www.airbnb.com/rooms/10293
10294,Chic Retreat in Ridgewood,1138,Ethan,f,Standard Host,Queens,Ridgewood,40.69819,-73.78481,Entire home/apt,195,2,97.5,3,25,2026-05-26,0.71,4,Small Host (2-4),Moderate ($100-$250),89,4.55,https://www.airbnb.com/rooms/10294
10295,Spacious Retreat in Hell's Kitchen,1077,David,f,Standard Host,Manhattan,Hell's Kitchen,40.74282,-73.95447,Entire home/apt,296,3,98.67,5,35,2026-05-17,1.76,1,Single Listing,Luxury (>$250),191,4.52,https://www.airbnb.com/rooms/10295
10296,Boho Loft in Hell's Kitchen,1043,Sophia,f,Standard Host,Manhattan,Hell's Kitchen,40.80423,-73.96577,Entire home/apt,361,2,180.5,1,36,2026-07-20,1.12,1,Single Listing,Luxury (>$250),319,4.54,https://www.airbnb.com/rooms/10296
10297,Luxury Studio in Williamsburg,1245,Benjamin,f,Standard Host,Brooklyn,Williamsburg,40.69064,-73.94374,Entire home/apt,318,6,53.0,1,29,2026-08-01,2.97,2,Small Host (2-4),Luxury (>$250),18,4.5,https://www.airbnb.com/rooms/10297
10298,Rustic Brownstone Unit in Harlem,1276,Daniel,t,Superhost,Manhattan,Harlem,40.77731,-73.98381,Private room,117,2,58.5,2,48,2026-07-31,2.34,1,Single Listing,Moderate ($100-$250),134,4.89,https://www.airbnb.com/rooms/10298
10299,Chic Loft in Midtown,1213,Mia,f,Standard Host,Manhattan,Midtown,40.8141,-73.94787,Entire home/apt,225,4,56.25,2,29,2026-05-18,1.41,1,Single Listing,Moderate ($100-$250),226,4.4,https://www.airbnb.com/rooms/10299
10300,Charming Brownstone Unit in Greenwich Village,1331,Elena,f,Standard Host,Manhattan,Greenwich Village,40.77755,-73.96355,Private room,124,2,62.0,7,11,2026-03-02,0.41,1,Single Listing,Moderate ($100-$250),346,4.44,https://www.airbnb.com/rooms/10300
10301,Spacious Penthouse in Fordham,1319,Daniel,t,Superhost,Bronx,Fordham,40.85502,-73.89918,Private room,51,2,25.5,5,52,2026-07-22,3.11,1,Single Listing,Budget (<$100),267,4.99,https://www.airbnb.com/rooms/10301
10302,Minimalist Flat in Crown Heights,1175,Elena,f,Standard Host,Brooklyn,Crown Heights,40.6668,-73.93127,Entire home/apt,237,5,47.4,4,34,2026-02-07,4.53,8,Multi-Listing Host (5+),Moderate ($100-$250),66,4.47,https://www.airbnb.com/rooms/10302
10303,Cozy Suite in Bushwick,1323,Emma,f,Standard Host,Brooklyn,Bushwick,40.68147,-73.95075,Entire home/apt,234,6,39.0,2,26,2026-04-10,2.57,2,Small Host (2-4),Moderate ($100-$250),222,4.44,https://www.airbnb.com/rooms/10303
10304,Stunning Apartment in Sunnyside,1191,Sophia,t,Superhost,Queens,Sunnyside,40.749,-73.81421,Entire home/apt,221,4,55.25,7,48,2026-06-26,2.63,4,Small Host (2-4),Moderate ($100-$250),195,4.89,https://www.airbnb.com/rooms/10304
10305,Cozy Room in Cobble Hill,1085,Sophia,t,Superhost,Brooklyn,Cobble Hill,40.68807,-73.94785,Entire home/apt,175,5,35.0,2,86,2026-06-14,3.25,3,Small Host (2-4),Moderate ($100-$250),170,4.97,https://www.airbnb.com/rooms/10305
10306,Chic Room in Ridgewood,1106,Ava,f,Standard Host,Queens,Ridgewood,40.69189,-73.75403,Entire home/apt,104,4,26.0,2,26,2026-06-16,3.05,1,Single Listing,Moderate ($100-$250),74,4.4,https://www.airbnb.com/rooms/10306
10307,Cozy Haven in Tribeca,1082,Alex,t,Superhost,Manhattan,Tribeca,40.7601,-73.97896,Private room,128,2,64.0,1,105,2026-05-30,14.13,1,Single Listing,Moderate ($100-$250),162,4.91,https://www.airbnb.com/rooms/10307
10308,Sunny Haven in Chelsea,1322,Ava,f,Standard Host,Manhattan,Chelsea,40.77494,-73.95072,Private room,51,1,51.0,2,18,2026-07-26,0.64,2,Small Host (2-4),Budget (<$100),108,4.59,https://www.airbnb.com/rooms/10308
10309,Modern Retreat in Greenwich Village,1067,Mia,t,Superhost,Manhattan,Greenwich Village,40.78701,-73.97849,Entire home/apt,290,2,145.0,3,79,2026-02-05,2.96,2,Small Host (2-4),Luxury (>$250),223,4.94,https://www.airbnb.com/rooms/10309
10310,Modern Flat in Hell's Kitchen,1061,Daniel,f,Standard Host,Manhattan,Hell's Kitchen,40.7649,-73.94973,Private room,206,1,206.0,1,11,2026-07-04,0.73,2,Small Host (2-4),Moderate ($100-$250),24,4.42,https://www.airbnb.com/rooms/10310
10311,Boho Haven in DUMBO,1251,Alex,t,Superhost,Brooklyn,DUMBO,40.69156,-73.95538,Private room,138,1,138.0,2,81,2026-05-07,3.35,2,Small Host (2-4),Moderate ($100-$250),245,4.96,https://www.airbnb.com/rooms/10311
10312,Spacious Retreat in SoHo,1199,Emily,f,Standard Host,Manhattan,SoHo,40.76798,-73.94749,Private room,180,1,180.0,4,5,2026-06-03,0.74,1,Single Listing,Moderate ($100-$250),168,4.58,https://www.airbnb.com/rooms/10312
10313,Cozy Haven in Financial District,1268,Daniel,f,Standard Host,Manhattan,Financial District,40.75058,-73.97995,Shared room,123,2,61.5,2,32,2026-07-27,1.37,1,Single Listing,Moderate ($100-$250),174,4.25,https://www.airbnb.com/rooms/10313
10314,Quiet Penthouse in Astoria,1271,Carlos,f,Standard Host,Queens,Astoria,40.73334,-73.80504,Entire home/apt,163,2,81.5,1,17,2026-05-19,1.49,1,Single Listing,Moderate ($100-$250),60,4.62,https://www.airbnb.com/rooms/10314
10315,Charming Flat in East Village,1122,Mia,f,Standard Host,Manhattan,East Village,40.79712,-73.96646,Private room,180,2,90.0,4,19,2026-07-26,0.81,2,Small Host (2-4),Moderate ($100-$250),343,4.64,https://www.airbnb.com/rooms/10315
10316,Quiet Penthouse in East Village,1073,Elena,f,Standard Host,Manhattan,East Village,40.77814,-73.9578,Private room,98,1,98.0,1,15,2026-03-02,1.92,3,Small Host (2-4),Budget (<$100),138,4.26,https://www.airbnb.com/rooms/10316
10317,Boho Penthouse in Long Island City,1274,Ethan,t,Superhost,Queens,Long Island City,40.69736,-73.81318,Entire home/apt,126,2,63.0,3,97,2026-02-08,2.98,1,Single Listing,Moderate ($100-$250),241,4.96,https://www.airbnb.com/rooms/10317
10318,Sunny Brownstone Unit in Hell's Kitchen,1069,Alex,f,Standard Host,Manhattan,Hell's Kitchen,40.74738,-73.95394,Private room,128,1,128.0,7,34,2026-06-16,1.33,2,Small Host (2-4),Moderate ($100-$250),237,4.59,https://www.airbnb.com/rooms/10318
10319,Bright Flat in Flushing,1005,Emma,f,Standard Host,Queens,Flushing,40.68477,-73.75745,Private room,50,3,16.67,2,3,2026-06-22,0.23,1,Single Listing,Budget (<$100),153,4.44,https://www.airbnb.com/rooms/10319
10320,Bright Room in Chelsea,1143,Ethan,f,Standard Host,Manhattan,Chelsea,40.78793,-73.94281,Entire home/apt,281,2,140.5,7,13,2026-07-24,0.46,3,Small Host (2-4),Luxury (>$250),126,4.56,https://www.airbnb.com/rooms/10320
10321,Luxury Studio in Midtown,1130,Ava,f,Standard Host,Manhattan,Midtown,40.8138,-73.97275,Private room,86,1,86.0,2,42,2026-06-21,1.95,3,Small Host (2-4),Budget (<$100),32,4.45,https://www.airbnb.com/rooms/10321
10322,Luxury Loft in Greenwich Village,1172,Michael,f,Standard Host,Manhattan,Greenwich Village,40.79632,-73.98828,Entire home/apt,278,5,55.6,4,47,2026-07-31,2.48,3,Small Host (2-4),Luxury (>$250),181,4.38,https://www.airbnb.com/rooms/10322
10323,Spacious Studio in Greenpoint,1122,Michael,f,Standard Host,Brooklyn,Greenpoint,40.7012,-73.98452,Entire home/apt,208,4,52.0,2,36,2026-06-28,1.07,1,Single Listing,Moderate ($100-$250),330,4.59,https://www.airbnb.com/rooms/10323
10324,Luxury Loft in DUMBO,1211,Emily,f,Standard Host,Brooklyn,DUMBO,40.64331,-73.92932,Private room,70,2,35.0,1,40,2026-05-26,1.57,1,Single Listing,Budget (<$100),274,4.4,https://www.airbnb.com/rooms/10324
10325,Cozy Retreat in Financial District,1294,David,f,Standard Host,Manhattan,Financial District,40.77697,-73.9973,Private room,84,1,84.0,2,26,2026-07-23,0.89,1,Single Listing,Budget (<$100),185,4.48,https://www.airbnb.com/rooms/10325
10326,Rustic Room in Bedford-Stuyvesant,1028,Sophia,t,Superhost,Brooklyn,Bedford-Stuyvesant,40.69732,-73.91637,Private room,124,3,41.33,7,87,2026-05-23,4.35,8,Multi-Listing Host (5+),Moderate ($100-$250),299,4.94,https://www.airbnb.com/rooms/10326
10327,Cozy Retreat in Harlem,1254,Emily,f,Standard Host,Manhattan,Harlem,40.81542,-73.94618,Private room,120,2,60.0,1,14,2026-04-19,0.78,1,Single Listing,Moderate ($100-$250),15,4.37,https://www.airbnb.com/rooms/10327
10328,Minimalist Loft in Upper West Side,1185,Sarah,f,Standard Host,Manhattan,Upper West Side,40.76209,-73.9975,Private room,166,1,166.0,5,17,2026-07-26,1.23,1,Single Listing,Moderate ($100-$250),80,4.52,https://www.airbnb.com/rooms/10328
10329,Rustic Suite in Chelsea,1339,Jessica,f,Standard Host,Manhattan,Chelsea,40.77807,-73.95726,Private room,285,3,95.0,1,10,2025-12-18,0.42,2,Small Host (2-4),Luxury (>$250),33,4.52,https://www.airbnb.com/rooms/10329
10330,Bright Penthouse in Flushing,1144,David,f,Standard Host,Queens,Flushing,40.7273,-73.78832,Entire home/apt,100,8,12.5,2,7,2026-06-20,0.28,1,Single Listing,Moderate ($100-$250),247,4.47,https://www.airbnb.com/rooms/10330
10331,Sunny Suite in Brooklyn Heights,1206,Ethan,f,Standard Host,Brooklyn,Brooklyn Heights,40.67194,-73.97274,Entire home/apt,270,2,135.0,4,15,2026-07-27,1.1,1,Single Listing,Luxury (>$250),161,4.55,https://www.airbnb.com/rooms/10331
10332,Luxury Loft in Brooklyn Heights,1222,Sophia,t,Superhost,Brooklyn,Brooklyn Heights,40.66138,-73.96677,Entire home/apt,224,3,74.67,2,58,2026-06-21,3.91,2,Small Host (2-4),Moderate ($100-$250),50,4.99,https://www.airbnb.com/rooms/10332
10333,Minimalist Studio in SoHo,1169,James,t,Superhost,Manhattan,SoHo,40.79609,-73.96801,Entire home/apt,303,5,60.6,2,95,2026-05-02,3.1,2,Small Host (2-4),Luxury (>$250),217,5.0,https://www.airbnb.com/rooms/10333
10334,Stunning Retreat in Cobble Hill,1117,Emily,f,Standard Host,Brooklyn,Cobble Hill,40.65989,-73.88284,Private room,88,1,88.0,2,15,2026-04-11,1.75,1,Single Listing,Budget (<$100),223,4.32,https://www.airbnb.com/rooms/10334
10335,Minimalist Flat in Harlem,1005,Mia,f,Standard Host,Manhattan,Harlem,40.77384,-73.97611,Private room,114,2,57.0,1,47,2026-03-01,1.59,1,Single Listing,Moderate ($100-$250),179,4.53,https://www.airbnb.com/rooms/10335
10336,Luxury Loft in Ridgewood,1201,Michael,f,Standard Host,Queens,Ridgewood,40.75462,-73.73858,Entire home/apt,65,2,32.5,3,8,2026-07-31,0.35,1,Single Listing,Budget (<$100),260,4.58,https://www.airbnb.com/rooms/10336
10337,Bright Haven in Sunnyside,1036,Benjamin,t,Superhost,Queens,Sunnyside,40.72359,-73.77354,Private room,101,2,50.5,1,68,2026-04-03,1.96,1,Single Listing,Moderate ($100-$250),115,4.94,https://www.airbnb.com/rooms/10337
10338,Stunning Penthouse in Financial District,1235,James,t,Superhost,Manhattan,Financial District,40.81805,-73.94651,Entire home/apt,286,8,35.75,1,70,2026-06-25,3.38,1,Single Listing,Luxury (>$250),56,4.97,https://www.airbnb.com/rooms/10338
10339,Bright Suite in DUMBO,1213,Emily,t,Superhost,Brooklyn,DUMBO,40.64212,-73.91477,Private room,78,2,39.0,2,89,2026-03-26,8.29,2,Small Host (2-4),Budget (<$100),44,4.99,https://www.airbnb.com/rooms/10339
10340,Quiet Studio in Sunnyside,1040,Emma,f,Standard Host,Queens,Sunnyside,40.74044,-73.75688,Hotel room,149,5,29.8,2,24,2026-06-25,0.91,3,Small Host (2-4),Moderate ($100-$250),214,4.61,https://www.airbnb.com/rooms/10340
10341,Minimalist Studio in East Village,1238,Mia,f,Standard Host,Manhattan,East Village,40.78035,-73.98168,Private room,102,1,102.0,3,25,2026-07-25,2.21,1,Single Listing,Moderate ($100-$250),96,4.25,https://www.airbnb.com/rooms/10341
10342,Luxury Suite in Bedford-Stuyvesant,1346,Ava,t,Superhost,Brooklyn,Bedford-Stuyvesant,40.64522,-73.95877,Private room,116,2,58.0,4,118,2026-05-05,19.22,1,Single Listing,Moderate ($100-$250),137,4.97,https://www.airbnb.com/rooms/10342
10343,Luxury Loft in Greenwich Village,1349,Michael,t,Superhost,Manhattan,Greenwich Village,40.78647,-73.9706,Private room,193,2,96.5,2,50,2026-07-19,4.28,1,Single Listing,Moderate ($100-$250),229,4.96,https://www.airbnb.com/rooms/10343
10344,Spacious Flat in Harlem,1109,Benjamin,t,Superhost,Manhattan,Harlem,40.74705,-73.94219,Entire home/apt,357,4,89.25,3,58,2025-10-26,2.76,1,Single Listing,Luxury (>$250),301,4.94,https://www.airbnb.com/rooms/10344
10345,Minimalist Loft in Greenwich Village,1171,Jessica,f,Standard Host,Manhattan,Greenwich Village,40.75965,-74.01938,Private room,104,2,52.0,30,28,2026-06-09,2.16,1,Single Listing,Moderate ($100-$250),129,4.5,https://www.airbnb.com/rooms/10345
10346,Charming Studio in Greenwich Village,1192,Mia,t,Superhost,Manhattan,Greenwich Village,40.81866,-73.96993,Entire home/apt,209,2,104.5,2,53,2026-05-08,2.09,1,Single Listing,Moderate ($100-$250),222,4.97,https://www.airbnb.com/rooms/10346
10347,Rustic Retreat in SoHo,1341,Emily,f,Standard Host,Manhattan,SoHo,40.77563,-73.95986,Entire home/apt,334,4,83.5,7,31,2025-10-16,4.1,1,Single Listing,Luxury (>$250),74,4.47,https://www.airbnb.com/rooms/10347
10348,Stunning Haven in Long Island City,1160,Jessica,f,Standard Host,Queens,Long Island City,40.7882,-73.79386,Private room,73,1,73.0,30,12,2026-07-27,0.41,1,Single Listing,Budget (<$100),213,4.37,https://www.airbnb.com/rooms/10348
10349,Luxury Studio in Park Slope,1011,Liam,f,Standard Host,Brooklyn,Park Slope,40.6812,-73.99037,Private room,119,1,119.0,2,32,2026-06-23,1.4,1,Single Listing,Moderate ($100-$250),250,4.46,https://www.airbnb.com/rooms/10349
10350,Minimalist Penthouse in Tribeca,1213,Liam,f,Standard Host,Manhattan,Tribeca,40.77373,-73.97358,Entire home/apt,211,3,70.33,1,29,2026-06-12,1.65,8,Multi-Listing Host (5+),Moderate ($100-$250),233,4.62,https://www.airbnb.com/rooms/10350
10351,Cozy Loft in Brooklyn Heights,1198,Sophia,f,Standard Host,Brooklyn,Brooklyn Heights,40.66235,-73.96217,Entire home/apt,374,2,187.0,3,40,2026-07-15,1.51,3,Small Host (2-4),Luxury (>$250),349,4.54,https://www.airbnb.com/rooms/10351
10352,Rustic Penthouse in Park Slope,1266,Daniel,f,Standard Host,Brooklyn,Park Slope,40.68805,-73.97078,Private room,123,1,123.0,7,25,2026-05-10,0.89,1,Single Listing,Moderate ($100-$250),55,4.25,https://www.airbnb.com/rooms/10352
10353,Luxury Apartment in Flushing,1158,Alex,f,Standard Host,Queens,Flushing,40.72765,-73.86409,Entire home/apt,155,5,31.0,1,48,2026-07-19,1.77,1,Single Listing,Moderate ($100-$250),66,4.56,https://www.airbnb.com/rooms/10353
10354,Minimalist Studio in Harlem,1210,Benjamin,f,Standard Host,Manhattan,Harlem,40.78318,-73.96646,Hotel room,269,4,67.25,1,18,2026-07-26,0.69,2,Small Host (2-4),Luxury (>$250),13,4.38,https://www.airbnb.com/rooms/10354
10355,Bright Brownstone Unit in Tribeca,1137,Mia,f,Standard Host,Manhattan,Tribeca,40.78814,-73.98995,Private room,102,1,102.0,2,100,2026-07-06,12.96,1,Single Listing,Moderate ($100-$250),61,4.45,https://www.airbnb.com/rooms/10355
10356,Rustic Loft in Bedford-Stuyvesant,1128,Elena,f,Standard Host,Brooklyn,Bedford-Stuyvesant,40.68852,-73.93156,Private room,96,2,48.0,1,41,2026-05-26,1.46,1,Single Listing,Budget (<$100),258,4.22,https://www.airbnb.com/rooms/10356
10357,Stunning Retreat in Hell's Kitchen,1198,Olivia,f,Standard Host,Manhattan,Hell's Kitchen,40.82242,-73.97445,Private room,226,2,113.0,2,63,2025-11-13,1.76,8,Multi-Listing Host (5+),Moderate ($100-$250),238,4.51,https://www.airbnb.com/rooms/10357
10358,Rustic Flat in Chelsea,1055,Sophia,f,Standard Host,Manhattan,Chelsea,40.75327,-73.94817,Private room,290,1,290.0,4,22,2026-06-22,0.88,3,Small Host (2-4),Luxury (>$250),180,4.43,https://www.airbnb.com/rooms/10358
10359,Cozy Room in SoHo,1196,Ava,f,Standard Host,Manhattan,SoHo,40.76033,-73.949,Private room,142,2,71.0,2,17,2026-07-24,0.73,1,Single Listing,Moderate ($100-$250),204,4.53,https://www.airbnb.com/rooms/10359
10360,Bright Studio in Tribeca,1187,David,f,Standard Host,Manhattan,Tribeca,40.7985,-73.96389,Entire home/apt,408,4,102.0,2,14,2026-06-21,0.45,1,Single Listing,Luxury (>$250),317,4.56,https://www.airbnb.com/rooms/10360
10361,Bright Brownstone Unit in DUMBO,1294,Mia,f,Standard Host,Brooklyn,DUMBO,40.64002,-73.94477,Entire home/apt,158,2,79.0,7,6,2026-05-14,0.47,3,Small Host (2-4),Moderate ($100-$250),101,4.2,https://www.airbnb.com/rooms/10361
10362,Cozy Room in Harlem,1348,Mia,f,Standard Host,Manhattan,Harlem,40.83346,-73.94604,Entire home/apt,288,5,57.6,4,23,2026-07-24,1.29,3,Small Host (2-4),Luxury (>$250),307,4.52,https://www.airbnb.com/rooms/10362
10363,Stunning Apartment in Bedford-Stuyvesant,1075,Daniel,t,Superhost,Brooklyn,Bedford-Stuyvesant,40.65431,-73.95678,Entire home/apt,228,4,57.0,7,98,2026-04-13,5.21,1,Single Listing,Moderate ($100-$250),59,4.98,https://www.airbnb.com/rooms/10363
10364,Boho Brownstone Unit in Mott Haven,1077,Liam,t,Superhost,Bronx,Mott Haven,40.8421,-73.83604,Private room,52,1,52.0,1,67,2026-05-27,1.87,3,Small Host (2-4),Budget (<$100),247,4.91,https://www.airbnb.com/rooms/10364
10365,Bright Studio in Hell's Kitchen,1251,Noah,t,Superhost,Manhattan,Hell's Kitchen,40.7763,-73.96371,Entire home/apt,507,4,126.75,7,93,2026-05-18,5.9,1,Single Listing,Luxury (>$250),285,4.97,https://www.airbnb.com/rooms/10365
10366,Rustic Suite in Tribeca,1300,Ava,f,Standard Host,Manhattan,Tribeca,40.78129,-73.96607,Entire home/apt,194,5,38.8,5,9,2026-06-14,0.79,1,Single Listing,Moderate ($100-$250),72,4.61,https://www.airbnb.com/rooms/10366
10367,Chic Suite in Bushwick,1064,Noah,t,Superhost,Brooklyn,Bushwick,40.63309,-73.96288,Entire home/apt,362,8,45.25,7,89,2026-07-10,4.3,1,Single Listing,Luxury (>$250),190,4.93,https://www.airbnb.com/rooms/10367
10368,Bright Apartment in Williamsburg,1111,David,f,Standard Host,Brooklyn,Williamsburg,40.73874,-73.94289,Entire home/apt,250,2,125.0,1,21,2026-07-02,0.63,2,Small Host (2-4),Moderate ($100-$250),140,4.54,https://www.airbnb.com/rooms/10368
10369,Sunny Loft in Bushwick,1331,Daniel,f,Standard Host,Brooklyn,Bushwick,40.6646,-73.9586,Private room,72,2,36.0,2,11,2026-07-14,0.82,1,Single Listing,Budget (<$100),290,4.46,https://www.airbnb.com/rooms/10369
10370,Charming Retreat in SoHo,1141,Alex,t,Superhost,Manhattan,SoHo,40.76393,-73.96923,Private room,131,3,43.67,1,54,2026-04-25,2.28,2,Small Host (2-4),Moderate ($100-$250),188,4.95,https://www.airbnb.com/rooms/10370
10371,Bright Penthouse in East Village,1200,Jessica,t,Superhost,Manhattan,East Village,40.79284,-73.97861,Private room,243,2,121.5,2,83,2026-07-24,7.78,1,Single Listing,Moderate ($100-$250),146,5.0,https://www.airbnb.com/rooms/10371
10372,Boho Loft in Crown Heights,1225,Elena,f,Standard Host,Brooklyn,Crown Heights,40.67205,-73.95554,Entire home/apt,144,3,48.0,2,17,2026-02-06,0.54,3,Small Host (2-4),Moderate ($100-$250),170,4.43,https://www.airbnb.com/rooms/10372
10373,Bright Studio in Chelsea,1147,Ava,f,Standard Host,Manhattan,Chelsea,40.7944,-73.97528,Entire home/apt,692,5,138.4,1,45,2026-07-25,2.05,4,Small Host (2-4),Luxury (>$250),107,4.3,https://www.airbnb.com/rooms/10373
10374,Sunny Loft in Cobble Hill,1271,Charlotte,t,Superhost,Brooklyn,Cobble Hill,40.68229,-73.94424,Private room,82,2,41.0,1,50,2026-07-06,5.0,1,Single Listing,Budget (<$100),263,4.98,https://www.airbnb.com/rooms/10374
10375,Rustic Haven in Chelsea,1149,Olivia,f,Standard Host,Manhattan,Chelsea,40.80226,-74.00518,Private room,227,1,227.0,5,23,2026-03-21,0.68,1,Single Listing,Moderate ($100-$250),39,4.52,https://www.airbnb.com/rooms/10375
10376,Charming Loft in SoHo,1206,Elena,t,Superhost,Manhattan,SoHo,40.7835,-73.95669,Private room,195,2,97.5,2,52,2026-07-04,2.58,1,Single Listing,Moderate ($100-$250),103,4.92,https://www.airbnb.com/rooms/10376
10377,Bright Brownstone Unit in Stapleton,1184,Daniel,t,Superhost,Staten Island,Stapleton,40.59179,-74.13033,Entire home/apt,164,2,82.0,1,62,2026-05-25,2.97,1,Single Listing,Moderate ($100-$250),214,4.98,https://www.airbnb.com/rooms/10377
10378,Bright Suite in East Village,1007,Emily,t,Superhost,Manhattan,East Village,40.79867,-73.96845,Entire home/apt,285,5,57.0,1,69,2026-07-20,2.48,3,Small Host (2-4),Luxury (>$250),68,4.95,https://www.airbnb.com/rooms/10378
10379,Luxury Penthouse in Park Slope,1258,Charlotte,t,Superhost,Brooklyn,Park Slope,40.69067,-73.9071,Private room,71,3,23.67,2,55,2026-07-01,7.31,12,Multi-Listing Host (5+),Budget (<$100),334,4.91,https://www.airbnb.com/rooms/10379
10380,Charming Loft in Williamsburg,1138,Elena,t,Superhost,Brooklyn,Williamsburg,40.65897,-73.98006,Entire home/apt,222,3,74.0,1,68,2026-07-26,2.04,1,Single Listing,Moderate ($100-$250),261,4.97,https://www.airbnb.com/rooms/10380
10381,Stunning Loft in Midtown,1185,Elena,f,Standard Host,Manhattan,Midtown,40.76907,-74.00251,Entire home/apt,241,4,60.25,7,17,2026-01-06,2.35,1,Single Listing,Moderate ($100-$250),107,4.31,https://www.airbnb.com/rooms/10381
10382,Spacious Haven in Tribeca,1104,Ava,f,Standard Host,Manhattan,Tribeca,40.77408,-73.98362,Entire home/apt,241,2,120.5,2,13,2026-03-19,0.37,4,Small Host (2-4),Moderate ($100-$250),70,4.23,https://www.airbnb.com/rooms/10382
10383,Rustic Suite in Tribeca,1067,Olivia,t,Superhost,Manhattan,Tribeca,40.78617,-73.98289,Entire home/apt,394,4,98.5,1,100,2026-07-02,3.4,1,Single Listing,Luxury (>$250),104,4.91,https://www.airbnb.com/rooms/10383
10384,Luxury Retreat in Williamsburg,1269,James,t,Superhost,Brooklyn,Williamsburg,40.64122,-73.91213,Entire home/apt,150,2,75.0,4,95,2026-07-14,2.81,12,Multi-Listing Host (5+),Moderate ($100-$250),338,4.98,https://www.airbnb.com/rooms/10384
10385,Stunning Suite in SoHo,1282,James,f,Standard Host,Manhattan,SoHo,40.74711,-74.01084,Entire home/apt,233,3,77.67,3,5,2026-04-01,0.2,1,Single Listing,Moderate ($100-$250),292,4.41,https://www.airbnb.com/rooms/10385
10386,Charming Apartment in Chelsea,1080,Benjamin,t,Superhost,Manhattan,Chelsea,40.77168,-74.00284,Private room,116,2,58.0,3,65,2026-06-22,5.57,1,Single Listing,Moderate ($100-$250),341,4.97,https://www.airbnb.com/rooms/10386
10387,Minimalist Loft in Jackson Heights,1037,Sophia,t,Superhost,Queens,Jackson Heights,40.69589,-73.76958,Entire home/apt,183,6,30.5,3,77,2026-05-07,2.5,1,Single Listing,Moderate ($100-$250),32,4.97,https://www.airbnb.com/rooms/10387
10388,Spacious Studio in Financial District,1055,Ava,f,Standard Host,Manhattan,Financial District,40.7814,-73.91929,Shared room,79,1,79.0,1,49,2026-07-22,3.07,1,Single Listing,Budget (<$100),146,4.46,https://www.airbnb.com/rooms/10388
10389,Charming Penthouse in Astoria,1213,David,t,Superhost,Queens,Astoria,40.71479,-73.79876,Private room,77,1,77.0,30,64,2026-06-22,1.94,1,Single Listing,Budget (<$100),124,4.94,https://www.airbnb.com/rooms/10389
10390,Charming Loft in SoHo,1023,Charlotte,t,Superhost,Manhattan,SoHo,40.80262,-73.93784,Private room,272,2,136.0,1,62,2026-03-30,4.24,2,Small Host (2-4),Luxury (>$250),265,4.92,https://www.airbnb.com/rooms/10390
10391,Boho Penthouse in Jackson Heights,1164,David,f,Standard Host,Queens,Jackson Heights,40.74374,-73.80185,Private room,69,2,34.5,3,6,2026-06-29,0.39,1,Single Listing,Budget (<$100),221,4.49,https://www.airbnb.com/rooms/10391
10392,Stunning Apartment in Chelsea,1253,Ava,f,Standard Host,Manhattan,Chelsea,40.76085,-73.98995,Private room,186,1,186.0,1,7,2026-07-06,0.81,1,Single Listing,Moderate ($100-$250),18,4.32,https://www.airbnb.com/rooms/10392
10393,Bright Loft in Mott Haven,1072,Olivia,f,Standard Host,Bronx,Mott Haven,40.86086,-73.8748,Private room,35,2,17.5,3,24,2026-05-14,2.33,1,Single Listing,Budget (<$100),227,4.55,https://www.airbnb.com/rooms/10393
10394,Boho Studio in Bushwick,1076,Elena,t,Superhost,Brooklyn,Bushwick,40.6598,-73.97741,Entire home/apt,246,2,123.0,2,28,2026-02-04,1.28,1,Single Listing,Moderate ($100-$250),182,4.95,https://www.airbnb.com/rooms/10394
10395,Modern Suite in Harlem,1089,Noah,t,Superhost,Manhattan,Harlem,40.80977,-73.96064,Private room,74,1,74.0,1,71,2026-07-13,2.09,8,Multi-Listing Host (5+),Budget (<$100),203,4.96,https://www.airbnb.com/rooms/10395
